Epoch 1/3
------------------------------------------------------------
[1/1429] Loss: 0.7604 | LR: 0.005
[56/1429] Loss: 0.7506 | LR: 0.005
[57/1429] Loss: 0.4633 | LR: 0.005
[58/1429] Loss: 0.6755 | LR: 0.005
[59/1429] Loss: 0.8242 | LR: 0.005
[60/1429] Loss: 1.1975 | LR: 0.005
[61/1429] Loss: 0.7708 | LR: 0.005
[62/1429] Loss: 0.9173 | LR: 0.005
[63/1429] Loss: 0.645 | LR: 0.005
[64/1429] Loss: 0.7118 | LR: 0.005
[65/1429] Loss: 0.5055 | LR: 0.005
[66/1429] Loss: 1.1395 | LR: 0.005
[67/1429] Loss: 0.5917 | LR: 0.005
[68/1429] Loss: 1.1735 | LR: 0.005
[69/1429] Loss: 0.2485 | LR: 0.005
[70/1429] Loss: 0.5081 | LR: 0.005
[71/1429] Loss: 1.0145 | LR: 0.005
[72/1429] Loss: 0.67 | LR: 0.005
[73/1429] Loss: 0.7151 | LR: 0.005
[74/1429] Loss: 0.6559 | LR: 0.005
[75/1429] Loss: 0.3541 | LR: 0.005
[76/1429] Loss: 0.2869 | LR: 0.005
[77/1429] Loss: 0.3251 | LR: 0.005
[78/1429] Loss: 0.6437 | LR: 0.005
[79/1429] Loss: 0.7649 | LR: 0.005
[80/1429] Loss: 0.8938 | LR: 0.005
[81/1429] Loss: 0.9124 | LR: 0.005
[82/1429] Loss: 1.0035 | LR: 0.005
[83/1429] Loss: 0.2966 | LR: 0.005
[84/1429] Loss: 1.1766 | LR: 0.005
[85/1429] Loss: 1.0312 | LR: 0.005
[86/1429] Loss: 1.0904 | LR: 0.005
[87/1429] Loss: 0.6826 | LR: 0.005
[88/1429] Loss: 0.4551 | LR: 0.005
[89/1429] Loss: 0.4342 | LR: 0.005
[90/1429] Loss: 0.5563 | LR: 0.005
[91/1429] Loss: 0.4024 | LR: 0.005
[92/1429] Loss: 1.09 | LR: 0.005
[93/1429] Loss: 1.1597 | LR: 0.005
[94/1429] Loss: 0.612 | LR: 0.005
[95/1429] Loss: 0.3606 | LR: 0.005
[96/1429] Loss: 0.4034 | LR: 0.005
[97/1429] Loss: 0.3332 | LR: 0.005
[98/1429] Loss: 0.8377 | LR: 0.005
[99/1429] Loss: 0.3459 | LR: 0.005
[100/1429] Loss: 1.1427 | LR: 0.005
[101/1429] Loss: 0.4192 | LR: 0.005
[102/1429] Loss: 0.2224 | LR: 0.005
[103/1429] Loss: 0.4183 | LR: 0.005
[104/1429] Loss: 0.2817 | LR: 0.005
[105/1429] Loss: 0.3999 | LR: 0.005
[106/1429] Loss: 0.5803 | LR: 0.005
[107/1429] Loss: 0.45 | LR: 0.005
[108/1429] Loss: 1.1675 | LR: 0.005
[109/1429] Loss: 0.529 | LR: 0.005
[110/1429] Loss: 0.6271 | LR: 0.005
[111/1429] Loss: 0.5177 | LR: 0.005
[112/1429] Loss: 1.0176 | LR: 0.005
[113/1429] Loss: 0.2114 | LR: 0.005
[114/1429] Loss: 0.2342 | LR: 0.005
[115/1429] Loss: 0.878 | LR: 0.005
[116/1429] Loss: 0.4139 | LR: 0.005
[117/1429] Loss: 0.6792 | LR: 0.005
[118/1429] Loss: 0.854 | LR: 0.005
[119/1429] Loss: 0.6206 | LR: 0.005
[120/1429] Loss: 1.0815 | LR: 0.005
[121/1429] Loss: 1.0435 | LR: 0.005
[122/1429] Loss: 0.275 | LR: 0.005
[123/1429] Loss: 0.6495 | LR: 0.005
[124/1429] Loss: 0.9274 | LR: 0.005
[125/1429] Loss: 0.8257 | LR: 0.005
[126/1429] Loss: 1.1492 | LR: 0.005
[127/1429] Loss: 1.1572 | LR: 0.005
[128/1429] Loss: 0.2635 | LR: 0.005
[129/1429] Loss: 0.7613 | LR: 0.005
[130/1429] Loss: 1.0738 | LR: 0.005
[131/1429] Loss: 0.4465 | LR: 0.005
[132/1429] Loss: 0.4522 | LR: 0.005
[133/1429] Loss: 0.4109 | LR: 0.005
[134/1429] Loss: 0.2171 | LR: 0.005
[135/1429] Loss: 0.3012 | LR: 0.005
[136/1429] Loss: 0.3061 | LR: 0.005
[137/1429] Loss: 1.0369 | LR: 0.005
[138/1429] Loss: 0.4757 | LR: 0.005
[139/1429] Loss: 0.5981 | LR: 0.005
[140/1429] Loss: 0.6288 | LR: 0.005
[141/1429] Loss: 0.2878 | LR: 0.005
[142/1429] Loss: 1.1153 | LR: 0.005
[143/1429] Loss: 0.3902 | LR: 0.005
[144/1429] Loss: 1.1185 | LR: 0.005
[145/1429] Loss: 0.8097 | LR: 0.005
[146/1429] Loss: 0.4872 | LR: 0.005
[147/1429] Loss: 0.5581 | LR: 0.005
[148/1429] Loss: 0.5576 | LR: 0.005
[149/1429] Loss: 0.9682 | LR: 0.005
[150/1429] Loss: 0.3011 | LR: 0.005
[151/1429] Loss: 1.1451 | LR: 0.005
[152/1429] Loss: 0.9191 | LR: 0.005
[153/1429] Loss: 1.0124 | LR: 0.005
[154/1429] Loss: 0.6656 | LR: 0.005
[155/1429] Loss: 0.4863 | LR: 0.005
[156/1429] Loss: 0.7235 | LR: 0.005
[157/1429] Loss: 1.0853 | LR: 0.005
[158/1429] Loss: 0.2745 | LR: 0.005
[159/1429] Loss: 0.9302 | LR: 0.005
[160/1429] Loss: 0.7498 | LR: 0.005
[161/1429] Loss: 1.1591 | LR: 0.005
[162/1429] Loss: 0.7974 | LR: 0.005
[163/1429] Loss: 0.9185 | LR: 0.005
[164/1429] Loss: 1.0862 | LR: 0.005
[165/1429] Loss: 0.6925 | LR: 0.005
[166/1429] Loss: 0.6318 | LR: 0.005
[167/1429] Loss: 0.4831 | LR: 0.005
[168/1429] Loss: 0.7521 | LR: 0.005
[169/1429] Loss: 0.7189 | LR: 0.005
[170/1429] Loss: 0.879 | LR: 0.005
[171/1429] Loss: 0.7601 | LR: 0.005
[172/1429] Loss: 0.557 | LR: 0.005
[173/1429] Loss: 0.5821 | LR: 0.005
[174/1429] Loss: 0.5064 | LR: 0.005
[175/1429] Loss: 0.657 | LR: 0.005
[176/1429] Loss: 0.2031 | LR: 0.005
[177/1429] Loss: 1.1041 | LR: 0.005
[178/1429] Loss: 1.1829 | LR: 0.005
[179/1429] Loss: 1.0789 | LR: 0.005
[180/1429] Loss: 0.9968 | LR: 0.005
[181/1429] Loss: 0.7461 | LR: 0.005
[182/1429] Loss: 0.9975 | LR: 0.005
[183/1429] Loss: 1.079 | LR: 0.005
[184/1429] Loss: 0.9563 | LR: 0.005
[185/1429] Loss: 0.3796 | LR: 0.005
[186/1429] Loss: 1.1204 | LR: 0.005
[187/1429] Loss: 0.6558 | LR: 0.005
[188/1429] Loss: 0.7331 | LR: 0.005
[189/1429] Loss: 1.0516 | LR: 0.005
[190/1429] Loss: 0.4671 | LR: 0.005
[191/1429] Loss: 0.8525 | LR: 0.005
[192/1429] Loss: 0.6486 | LR: 0.005
[193/1429] Loss: 0.6997 | LR: 0.005
[194/1429] Loss: 0.7833 | LR: 0.005
[195/1429] Loss: 0.4496 | LR: 0.005
[196/1429] Loss: 0.7039 | LR: 0.005
[197/1429] Loss: 0.8458 | LR: 0.005
[198/1429] Loss: 0.9458 | LR: 0.005
[199/1429] Loss: 1.1091 | LR: 0.005
[200/1429] Loss: 1.0203 | LR: 0.005
[201/1429] Loss: 1.1033 | LR: 0.005
[202/1429] Loss: 0.305 | LR: 0.005
[203/1429] Loss: 0.548 | LR: 0.005
[204/1429] Loss: 1.044 | LR: 0.005
[205/1429] Loss: 0.5509 | LR: 0.005
[206/1429] Loss: 0.8249 | LR: 0.005
[207/1429] Loss: 1.143 | LR: 0.005
[208/1429] Loss: 0.2405 | LR: 0.005
[209/1429] Loss: 0.9485 | LR: 0.005
[210/1429] Loss: 1.1467 | LR: 0.005
[211/1429] Loss: 0.7565 | LR: 0.005
[212/1429] Loss: 0.642 | LR: 0.005
[213/1429] Loss: 0.8314 | LR: 0.005
[214/1429] Loss: 0.8604 | LR: 0.005
[215/1429] Loss: 0.7974 | LR: 0.005
[216/1429] Loss: 0.9228 | LR: 0.005
[217/1429] Loss: 0.8747 | LR: 0.005
[218/1429] Loss: 1.1428 | LR: 0.005
[219/1429] Loss: 0.9272 | LR: 0.005
[220/1429] Loss: 1.1037 | LR: 0.005
[221/1429] Loss: 0.5598 | LR: 0.005
[222/1429] Loss: 0.5623 | LR: 0.005
[223/1429] Loss: 0.5692 | LR: 0.005
[224/1429] Loss: 0.3685 | LR: 0.005
[225/1429] Loss: 0.9081 | LR: 0.005
[226/1429] Loss: 0.9961 | LR: 0.005
[227/1429] Loss: 0.7594 | LR: 0.005
[228/1429] Loss: 1.1504 | LR: 0.005
[229/1429] Loss: 0.4659 | LR: 0.005
[230/1429] Loss: 0.7431 | LR: 0.005
[231/1429] Loss: 0.7411 | LR: 0.005
[232/1429] Loss: 0.9797 | LR: 0.005
[233/1429] Loss: 0.35 | LR: 0.005
[234/1429] Loss: 0.6278 | LR: 0.005
[235/1429] Loss: 0.5672 | LR: 0.005
[236/1429] Loss: 0.6268 | LR: 0.005
[237/1429] Loss: 0.6763 | LR: 0.005
[238/1429] Loss: 0.6874 | LR: 0.005
[239/1429] Loss: 0.7724 | LR: 0.005
[240/1429] Loss: 0.6838 | LR: 0.005
[241/1429] Loss: 0.2279 | LR: 0.005
[242/1429] Loss: 0.5085 | LR: 0.005
[243/1429] Loss: 0.8665 | LR: 0.005
[244/1429] Loss: 0.7477 | LR: 0.005
[245/1429] Loss: 0.3774 | LR: 0.005
[246/1429] Loss: 1.1073 | LR: 0.005
[247/1429] Loss: 0.5529 | LR: 0.005
[248/1429] Loss: 0.2317 | LR: 0.005
[249/1429] Loss: 1.0662 | LR: 0.005
[250/1429] Loss: 0.3481 | LR: 0.005
[251/1429] Loss: 0.5446 | LR: 0.005
[252/1429] Loss: 0.6368 | LR: 0.005
[253/1429] Loss: 1.0327 | LR: 0.005
[254/1429] Loss: 0.9358 | LR: 0.005
[255/1429] Loss: 0.7833 | LR: 0.005
[256/1429] Loss: 0.4379 | LR: 0.005
[257/1429] Loss: 0.2244 | LR: 0.005
[258/1429] Loss: 1.1922 | LR: 0.005
[259/1429] Loss: 0.628 | LR: 0.005
[260/1429] Loss: 1.0963 | LR: 0.005
[261/1429] Loss: 0.5067 | LR: 0.005
[262/1429] Loss: 1.0602 | LR: 0.005
[263/1429] Loss: 0.537 | LR: 0.005
[264/1429] Loss: 0.8429 | LR: 0.005
[265/1429] Loss: 1.0185 | LR: 0.005
[266/1429] Loss: 0.7249 | LR: 0.005
[267/1429] Loss: 0.4817 | LR: 0.005
[268/1429] Loss: 0.4545 | LR: 0.005
[269/1429] Loss: 0.5381 | LR: 0.005
[270/1429] Loss: 0.9193 | LR: 0.005
[271/1429] Loss: 0.7784 | LR: 0.005
[272/1429] Loss: 0.9607 | LR: 0.005
[273/1429] Loss: 0.2687 | LR: 0.005
[274/1429] Loss: 0.9809 | LR: 0.005
[275/1429] Loss: 0.8921 | LR: 0.005
[276/1429] Loss: 0.859 | LR: 0.005
[277/1429] Loss: 0.7229 | LR: 0.005
[278/1429] Loss: 0.7823 | LR: 0.005
[279/1429] Loss: 0.8951 | LR: 0.005
[280/1429] Loss: 0.994 | LR: 0.005
[281/1429] Loss: 0.4173 | LR: 0.005
[282/1429] Loss: 1.0261 | LR: 0.005
[283/1429] Loss: 0.7607 | LR: 0.005
[284/1429] Loss: 0.7653 | LR: 0.005
[285/1429] Loss: 0.9836 | LR: 0.005
[286/1429] Loss: 0.4987 | LR: 0.005
[287/1429] Loss: 0.8757 | LR: 0.005
[288/1429] Loss: 0.2303 | LR: 0.005
[289/1429] Loss: 0.6592 | LR: 0.005
[290/1429] Loss: 0.5639 | LR: 0.005
[291/1429] Loss: 0.3822 | LR: 0.005
[292/1429] Loss: 0.6095 | LR: 0.005
[293/1429] Loss: 0.8193 | LR: 0.005
[294/1429] Loss: 0.8192 | LR: 0.005
[295/1429] Loss: 0.2897 | LR: 0.005
[296/1429] Loss: 0.533 | LR: 0.005
[297/1429] Loss: 0.4248 | LR: 0.005
[298/1429] Loss: 1.1955 | LR: 0.005
[299/1429] Loss: 0.2076 | LR: 0.005
[300/1429] Loss: 0.9195 | LR: 0.005
[301/1429] Loss: 0.634 | LR: 0.005
[302/1429] Loss: 0.3639 | LR: 0.005
[303/1429] Loss: 1.0804 | LR: 0.005
[304/1429] Loss: 0.6921 | LR: 0.005
[305/1429] Loss: 0.6337 | LR: 0.005
[306/1429] Loss: 1.0233 | LR: 0.005
[307/1429] Loss: 0.7256 | LR: 0.005
[308/1429] Loss: 0.3021 | LR: 0.005
[309/1429] Loss: 0.8185 | LR: 0.005
[310/1429] Loss: 0.3173 | LR: 0.005
[311/1429] Loss: 0.3548 | LR: 0.005
[312/1429] Loss: 0.5109 | LR: 0.005
[313/1429] Loss: 0.9273 | LR: 0.005
[314/1429] Loss: 0.8479 | LR: 0.005
[315/1429] Loss: 0.5699 | LR: 0.005
[316/1429] Loss: 1.0021 | LR: 0.005
[317/1429] Loss: 0.9878 | LR: 0.005
[318/1429] Loss: 0.3746 | LR: 0.005
[319/1429] Loss: 0.8316 | LR: 0.005
[320/1429] Loss: 0.2767 | LR: 0.005
[321/1429] Loss: 0.757 | LR: 0.005
[322/1429] Loss: 0.7095 | LR: 0.005
[323/1429] Loss: 1.0797 | LR: 0.005
[324/1429] Loss: 1.1228 | LR: 0.005
[325/1429] Loss: 0.5396 | LR: 0.005
[326/1429] Loss: 0.4762 | LR: 0.005
[327/1429] Loss: 0.8986 | LR: 0.005
[328/1429] Loss: 1.0336 | LR: 0.005
[329/1429] Loss: 1.0229 | LR: 0.005
[330/1429] Loss: 0.2259 | LR: 0.005
[331/1429] Loss: 0.5179 | LR: 0.005
[332/1429] Loss: 0.5661 | LR: 0.005
[333/1429] Loss: 0.7791 | LR: 0.005
[334/1429] Loss: 0.7398 | LR: 0.005
[335/1429] Loss: 0.488 | LR: 0.005
[336/1429] Loss: 0.7713 | LR: 0.005
[337/1429] Loss: 0.7268 | LR: 0.005
[338/1429] Loss: 0.8223 | LR: 0.005
[339/1429] Loss: 0.9575 | LR: 0.005
[340/1429] Loss: 0.4846 | LR: 0.005
[341/1429] Loss: 1.0201 | LR: 0.005
[342/1429] Loss: 0.3908 | LR: 0.005
[343/1429] Loss: 1.1268 | LR: 0.005
[344/1429] Loss: 0.558 | LR: 0.005
[345/1429] Loss: 0.7006 | LR: 0.005
[346/1429] Loss: 0.9416 | LR: 0.005
[347/1429] Loss: 0.8316 | LR: 0.005
[348/1429] Loss: 0.8116 | LR: 0.005
[349/1429] Loss: 0.2248 | LR: 0.005
[350/1429] Loss: 0.2231 | LR: 0.005
[351/1429] Loss: 1.1607 | LR: 0.005
[352/1429] Loss: 0.2716 | LR: 0.005
[353/1429] Loss: 1.1621 | LR: 0.005
[354/1429] Loss: 0.5072 | LR: 0.005
[355/1429] Loss: 0.2863 | LR: 0.005
[356/1429] Loss: 0.645 | LR: 0.005
[357/1429] Loss: 0.4694 | LR: 0.005
[358/1429] Loss: 0.2259 | LR: 0.005
[359/1429] Loss: 0.3061 | LR: 0.005
[360/1429] Loss: 0.4345 | LR: 0.005
[361/1429] Loss: 0.4507 | LR: 0.005
[362/1429] Loss: 0.2541 | LR: 0.005
[363/1429] Loss: 0.985 | LR: 0.005
[364/1429] Loss: 0.4853 | LR: 0.005
[365/1429] Loss: 0.716 | LR: 0.005
[366/1429] Loss: 0.708 | LR: 0.005
[367/1429] Loss: 0.7314 | LR: 0.005
[368/1429] Loss: 0.3566 | LR: 0.005
[369/1429] Loss: 0.8196 | LR: 0.005
[370/1429] Loss: 0.3756 | LR: 0.005
[371/1429] Loss: 0.4193 | LR: 0.005
[372/1429] Loss: 0.9551 | LR: 0.005
[373/1429] Loss: 0.688 | LR: 0.005
[374/1429] Loss: 1.1971 | LR: 0.005
[375/1429] Loss: 0.7961 | LR: 0.005
[376/1429] Loss: 0.94 | LR: 0.005
[377/1429] Loss: 0.497 | LR: 0.005
[378/1429] Loss: 0.8286 | LR: 0.005
[379/1429] Loss: 0.7805 | LR: 0.005
[380/1429] Loss: 0.7897 | LR: 0.005
[381/1429] Loss: 1.0226 | LR: 0.005
[382/1429] Loss: 1.0169 | LR: 0.005
[383/1429] Loss: 0.5796 | LR: 0.005
[384/1429] Loss: 1.0221 | LR: 0.005
[385/1429] Loss: 1.1024 | LR: 0.005
[386/1429] Loss: 0.5179 | LR: 0.005
[387/1429] Loss: 0.6563 | LR: 0.005
[388/1429] Loss: 0.2781 | LR: 0.005
[389/1429] Loss: 1.0398 | LR: 0.005
[390/1429] Loss: 0.4374 | LR: 0.005
[391/1429] Loss: 0.8441 | LR: 0.005
[392/1429] Loss: 0.8768 | LR: 0.005
[393/1429] Loss: 1.064 | LR: 0.005
[394/1429] Loss: 0.8551 | LR: 0.005
[395/1429] Loss: 1.0295 | LR: 0.005
[396/1429] Loss: 0.8977 | LR: 0.005
[397/1429] Loss: 0.2343 | LR: 0.005
[398/1429] Loss: 1.06 | LR: 0.005
[399/1429] Loss: 0.7143 | LR: 0.005
[400/1429] Loss: 0.996 | LR: 0.005
[401/1429] Loss: 0.5691 | LR: 0.005
[402/1429] Loss: 0.2528 | LR: 0.005
[403/1429] Loss: 0.3941 | LR: 0.005
[404/1429] Loss: 1.1248 | LR: 0.005
[405/1429] Loss: 1.0243 | LR: 0.005
[406/1429] Loss: 0.2442 | LR: 0.005
[407/1429] Loss: 0.7465 | LR: 0.005
[408/1429] Loss: 0.7561 | LR: 0.005
[409/1429] Loss: 0.6647 | LR: 0.005
[410/1429] Loss: 0.7898 | LR: 0.005
[411/1429] Loss: 0.9219 | LR: 0.005
[412/1429] Loss: 0.5008 | LR: 0.005
[413/1429] Loss: 0.7905 | LR: 0.005
[414/1429] Loss: 0.3519 | LR: 0.005
[415/1429] Loss: 0.8248 | LR: 0.005
[416/1429] Loss: 0.6635 | LR: 0.005
[417/1429] Loss: 0.6398 | LR: 0.005
[418/1429] Loss: 0.6256 | LR: 0.005
[419/1429] Loss: 0.6323 | LR: 0.005
[420/1429] Loss: 1.1733 | LR: 0.005
[421/1429] Loss: 0.4738 | LR: 0.005
[422/1429] Loss: 0.5779 | LR: 0.005
[423/1429] Loss: 1.0909 | LR: 0.005
[424/1429] Loss: 0.3837 | LR: 0.005
[425/1429] Loss: 0.6492 | LR: 0.005
[426/1429] Loss: 0.8161 | LR: 0.005
[427/1429] Loss: 0.2434 | LR: 0.005
[428/1429] Loss: 0.9921 | LR: 0.005
[429/1429] Loss: 1.0133 | LR: 0.005
[430/1429] Loss: 0.5245 | LR: 0.005
[431/1429] Loss: 1.1944 | LR: 0.005
[432/1429] Loss: 0.2703 | LR: 0.005
[433/1429] Loss: 0.4937 | LR: 0.005
[434/1429] Loss: 0.8607 | LR: 0.005
[435/1429] Loss: 0.6289 | LR: 0.005
[436/1429] Loss: 1.1579 | LR: 0.005
[437/1429] Loss: 0.551 | LR: 0.005
[438/1429] Loss: 1.1071 | LR: 0.005
[439/1429] Loss: 0.9522 | LR: 0.005
[440/1429] Loss: 1.1168 | LR: 0.005
[441/1429] Loss: 0.8595 | LR: 0.005
[442/1429] Loss: 1.0229 | LR: 0.005
[443/1429] Loss: 0.433 | LR: 0.005
[444/1429] Loss: 0.3911 | LR: 0.005
[445/1429] Loss: 1.1584 | LR: 0.005
[446/1429] Loss: 0.9351 | LR: 0.005
[447/1429] Loss: 0.8649 | LR: 0.005
[448/1429] Loss: 0.2618 | LR: 0.005
[449/1429] Loss: 0.2283 | LR: 0.005
[450/1429] Loss: 0.7547 | LR: 0.005
[451/1429] Loss: 0.5411 | LR: 0.005
[452/1429] Loss: 0.4094 | LR: 0.005
[453/1429] Loss: 0.9333 | LR: 0.005
[454/1429] Loss: 0.949 | LR: 0.005
[455/1429] Loss: 0.366 | LR: 0.005
[456/1429] Loss: 0.866 | LR: 0.005
[457/1429] Loss: 1.0035 | LR: 0.005
[458/1429] Loss: 0.5799 | LR: 0.005
[459/1429] Loss: 0.567 | LR: 0.005
[460/1429] Loss: 0.2391 | LR: 0.005
[461/1429] Loss: 0.2246 | LR: 0.005
[462/1429] Loss: 0.2481 | LR: 0.005
[463/1429] Loss: 0.8704 | LR: 0.005
[464/1429] Loss: 0.261 | LR: 0.005
[465/1429] Loss: 0.9583 | LR: 0.005
[466/1429] Loss: 0.2733 | LR: 0.005
[467/1429] Loss: 0.2678 | LR: 0.005
[468/1429] Loss: 0.5725 | LR: 0.005
[469/1429] Loss: 0.2162 | LR: 0.005
[470/1429] Loss: 0.4029 | LR: 0.005
[471/1429] Loss: 1.159 | LR: 0.005
[472/1429] Loss: 0.4542 | LR: 0.005
[473/1429] Loss: 0.4385 | LR: 0.005
[474/1429] Loss: 0.6555 | LR: 0.005
[475/1429] Loss: 1.0979 | LR: 0.005
[476/1429] Loss: 0.7464 | LR: 0.005
[477/1429] Loss: 0.4924 | LR: 0.005
[478/1429] Loss: 0.8363 | LR: 0.005
[479/1429] Loss: 0.8219 | LR: 0.005
[480/1429] Loss: 0.958 | LR: 0.005
[481/1429] Loss: 0.3796 | LR: 0.005
[482/1429] Loss: 0.8446 | LR: 0.005
[483/1429] Loss: 1.0253 | LR: 0.005
[484/1429] Loss: 0.566 | LR: 0.005
[485/1429] Loss: 0.9193 | LR: 0.005
[486/1429] Loss: 0.5107 | LR: 0.005
[487/1429] Loss: 0.5845 | LR: 0.005
[488/1429] Loss: 0.2297 | LR: 0.005
[489/1429] Loss: 0.8118 | LR: 0.005
[490/1429] Loss: 0.6927 | LR: 0.005
[491/1429] Loss: 0.7839 | LR: 0.005
[492/1429] Loss: 0.8518 | LR: 0.005
[493/1429] Loss: 0.9697 | LR: 0.005
[494/1429] Loss: 0.9288 | LR: 0.005
[495/1429] Loss: 1.1478 | LR: 0.005
[496/1429] Loss: 0.425 | LR: 0.005
[497/1429] Loss: 0.463 | LR: 0.005
[498/1429] Loss: 0.8373 | LR: 0.005
[499/1429] Loss: 0.718 | LR: 0.005
[500/1429] Loss: 0.9138 | LR: 0.005
[501/1429] Loss: 0.7465 | LR: 0.005
[502/1429] Loss: 0.5123 | LR: 0.005
[503/1429] Loss: 1.1297 | LR: 0.005
[504/1429] Loss: 1.1056 | LR: 0.005
[505/1429] Loss: 0.2967 | LR: 0.005
[506/1429] Loss: 0.7839 | LR: 0.005
[507/1429] Loss: 0.5031 | LR: 0.005
[508/1429] Loss: 1.1293 | LR: 0.005
[509/1429] Loss: 0.3369 | LR: 0.005
[510/1429] Loss: 0.942 | LR: 0.005
[511/1429] Loss: 0.2703 | LR: 0.005
[512/1429] Loss: 0.4573 | LR: 0.005
[513/1429] Loss: 0.2216 | LR: 0.005
[514/1429] Loss: 0.5388 | LR: 0.005
[515/1429] Loss: 0.4846 | LR: 0.005
[516/1429] Loss: 0.5926 | LR: 0.005
[517/1429] Loss: 0.5017 | LR: 0.005
[518/1429] Loss: 0.5578 | LR: 0.005
[519/1429] Loss: 0.5132 | LR: 0.005
[520/1429] Loss: 0.6227 | LR: 0.005
[521/1429] Loss: 1.028 | LR: 0.005
[522/1429] Loss: 0.6658 | LR: 0.005
[523/1429] Loss: 0.8664 | LR: 0.005
[524/1429] Loss: 1.1305 | LR: 0.005
[525/1429] Loss: 0.5926 | LR: 0.005
[526/1429] Loss: 0.8948 | LR: 0.005
[527/1429] Loss: 0.7855 | LR: 0.005
[528/1429] Loss: 0.9236 | LR: 0.005
[529/1429] Loss: 0.5304 | LR: 0.005
[530/1429] Loss: 0.7626 | LR: 0.005
[531/1429] Loss: 1.0852 | LR: 0.005
[532/1429] Loss: 0.2899 | LR: 0.005
[533/1429] Loss: 0.8523 | LR: 0.005
[534/1429] Loss: 0.2506 | LR: 0.005
[535/1429] Loss: 0.6996 | LR: 0.005
[536/1429] Loss: 1.0917 | LR: 0.005
[537/1429] Loss: 0.8468 | LR: 0.005
[538/1429] Loss: 0.4024 | LR: 0.005
[539/1429] Loss: 0.6697 | LR: 0.005
[540/1429] Loss: 0.4368 | LR: 0.005
[541/1429] Loss: 0.9566 | LR: 0.005
[542/1429] Loss: 0.2588 | LR: 0.005
[543/1429] Loss: 0.6902 | LR: 0.005
[544/1429] Loss: 1.1919 | LR: 0.005
[545/1429] Loss: 0.7651 | LR: 0.005
[546/1429] Loss: 1.0388 | LR: 0.005
[547/1429] Loss: 0.4201 | LR: 0.005
[548/1429] Loss: 0.9576 | LR: 0.005
[549/1429] Loss: 0.2873 | LR: 0.005
[550/1429] Loss: 0.818 | LR: 0.005
[551/1429] Loss: 0.6858 | LR: 0.005
[552/1429] Loss: 0.5471 | LR: 0.005
[553/1429] Loss: 0.3309 | LR: 0.005
[554/1429] Loss: 0.3685 | LR: 0.005
[555/1429] Loss: 0.6486 | LR: 0.005
[556/1429] Loss: 0.2676 | LR: 0.005
[557/1429] Loss: 0.9634 | LR: 0.005
[558/1429] Loss: 1.0418 | LR: 0.005
[559/1429] Loss: 0.2424 | LR: 0.005
